codigodanedepartamento,codigodanemunicipio,tipoarea,ano,mes,condicion
5,5313,1,2006,1,1
18,1841,1,2009,12,1
86,86568,1,2008,4,1
23,2358,1,2009,11,1
23,2358,1,2009,11,1
23,2358,1,2009,11,1
23,2358,1,2009,11,1
52,52079,1,2010,1,2
5,579,1,2010,1,2
5,5854,1,2008,3,1
19,19821,1,2009,8,1
5,5854,1,2008,3,1
19,19821,1,2009,8,1
52,52699,1,2009,7,1
5,5854,2,2009,4,1
5,5854,1,2008,3,1
52,52612,1,2009,12,1
95,95001,1,2009,10,1
95,95001,1,2009,10,1
50,50683,1,2009,12,1
54,5481,1,2009,9,1
54,5481,1,2009,9,1
54,5481,1,2009,9,1
54,5481,1,2009,9,1
54,5481,1,2009,9,1
54,5481,1,2009,9,1
54,5481,1,2009,9,1
54,5481,1,2009,9,1
13,1367,1,2009,8,1
13,1367,1,2009,8,1
18,1841,1,2009,10,1
86,86757,1,2008,9,1
5,579,1,2009,7,1
5,579,1,2009,7,1
5,579,1,2009,7,1
5,579,1,2009,7,1
5,579,1,2009,7,1
5,579,1,2009,7,1
19,1978,1,2010,1,2
19,1978,1,2010,1,2
13,13244,1,2010,1,1
19,1978,1,2010,1,2
50,50325,1,2010,1,2
41,4102,1,2010,1,2
41,4102,1,2010,1,2
5,5361,1,2010,1,2
76,76275,1,2009,9,1
41,41078,1,2010,1,2
23,23807,1,2010,1,2
13,13244,1,2010,1,1
13,1378,1,1993,9,1
97,97161,1,2010,1,2
54,548,1,2010,1,2
54,548,1,2010,1,2
54,548,1,2010,1,2
54,54344,1,2010,2,2
5,512,1,2010,2,2
41,4102,2,2008,12,1
41,41078,1,2010,2,2
23,23807,1,2010,2,2
54,5481,1,2009,9,1
54,5481,1,2009,9,1
81,81591,1,2010,2,2
52,52678,1,2010,2,2
18,1841,1,2010,2,2
54,5481,1,2009,9,1
54,5481,1,2009,9,1
81,81794,1,2009,2,1
18,1841,1,2010,2,2
23,23807,1,2010,2,2
95,952,1,2010,2,2
73,73616,1,2010,2,2
50,50325,1,2010,1,1
50,50325,1,2010,1,1
50,50325,1,2010,1,1
50,50325,1,2010,1,1
23,23807,1,2010,2,1
50,50325,1,2010,1,1
23,23189,1,2009,3,1
86,86568,1,2010,2,1
81,81794,1,2010,1,1
95,95015,1,2010,1,1
5,5649,1,2,10,1
95,952,1,2010,2,2
95,952,1,2010,2,2
95,952,1,2010,2,2
95,952,1,2010,2,2
54,54344,1,2010,2,2
54,54344,1,2010,2,2
41,4102,1,2010,2,2
5,5045,1,2008,8,2
5,5045,1,2008,8,2
54,54398,1,2010,1,2
54,54398,1,2003,5,2
86,86865,1,2008,8,1
86,86865,1,2008,8,1
86,86865,1,2008,8,1
86,86865,1,2008,8,1
86,86865,1,2008,8,1
18,18756,1,2010,3,2
54,5467,1,2010,3,2
5,5647,1,2010,3,2
85,8501,1,2010,3,2
41,41359,1,2010,3,2
81,81065,1,2010,3,2
81,81065,1,2010,3,2
18,18592,1,2010,3,2
18,18001,1,2010,3,2
5,5001,1,2010,3,2
52,52678,1,2010,3,2
81,81794,1,2010,3,2
81,81794,1,2010,3,2
5,5313,1,2004,11,2
41,41206,1,2009,3,1
54,5425,1,2008,10,1
50,5059,1,2006,3,1
19,19075,1,2006,9,1
19,19075,1,2006,9,1
13,13688,1,2010,2,1
50,5037,1,2009,5,2
52,52699,1,2008,5,1
52,52678,1,2007,2,1
52,52678,1,2006,11,1
81,81794,1,2009,1,1
81,81794,1,2009,1,1
54,5481,1,2009,9,1
86,86865,1,2008,8,1
86,86865,1,2008,8,1
5,566,1,2008,10,2
18,1861,1,2009,3,2
76,76563,1,2009,2,2
41,41524,1,2008,12,2
41,41524,1,2008,12,2
41,41524,1,2008,12,2
41,41524,1,2008,12,2
41,41524,1,2008,12,2
23,23807,1,2008,11,2
23,23807,1,2008,11,2
23,23807,1,2008,11,2
5,504,1,2008,12,2
5,504,1,2008,12,2
5,504,1,2008,12,2
52,52678,1,2009,4,1
52,52678,1,2009,4,1
52,52678,1,2009,4,1
52,52678,1,2009,4,1
52,52678,1,2009,8,2
5,5361,1,2010,3,2
5,5361,1,2010,3,2
97,97161,1,2010,3,2
5,579,1,2010,3,2
95,95001,1,2010,3,2
5,579,1,2010,3,2
54,5425,1,2008,8,1
54,5425,1,2008,8,1
54,5425,1,2008,8,1
52,52678,1,2010,3,2
52,52678,1,2010,3,2
5,5361,1,2010,3,2
5,5361,1,2010,3,2
50,50711,1,2010,3,2
